quote,year,movie
"Do, or do not. There is no try.",1890,Star Wars: Episode V - The Empire Strikes Back
Listen to them. Children of the night. What music they make.,1931,Dracula
It's alive! It's alive!,1931,Frankenstein
"Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.",1933,King Kong
"Magic Mirror on the wall, who is the fairest one of all?",1937,Snow White and the Seven Dwarves
"Elementary, my dear Watson.",1939,The Adventures of Sherlock Holmes
"I'll get you, my pretty, and your little dog, too!",1939,The Wizard of Oz
"After all, tomorrow is another day!",1939,Gone With the Wind
"Frankly, my dear, I don't give a damn.",1939,Gone with the Wind
"Toto, I've got a feeling we're not in Kansas anymore.",1939,The Wizard of Oz
There's no place like home.,1939,The Wizard of Oz
"As God is my witness, I'll never be hungry again.",1939,Gone with the Wind
"It's gone forever, that funny young, lost look I loved won't ever come back. I killed that when I told you about Rebecca. It's gone. In a few hours, you've grown so much older.",1940,Rebecca
"Here's looking at you, kid.",1942,Casablanca
"Play it, Sam. Play 'As Time Goes By.",1942,Casablanca
We'll always have Paris.,1942,Casablanca
Round up the usual suspects.,1942,Casablanca
This is the beginning of a beautiful friendship.,1942,Casablanca
"When it comes to women, you’re a true democrat.",1942,Casablanca
I am big! It's the pictures that got small.,1950,Sunset Blvd.
Nobody ever lies about being lonely.,1953,Here to Eternity
"You don't understand! I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",1954,On The Waterfront
"Where we're going, we don't need roads",1958,Back to the future
"Life is a banquet, and most poor suckers are starving to death!",1958,Auntie Mame
Well nobody is perfect,1959,Some Like It Hot
"My name is Bond, James Bond.",1962,Dr. No
Bond. James Bond,1962,Dr. No
I don't understand. He meets a girl that can give him a new life and he pushes her away? Because he doesn't know how to love.,1963,8 1⁄2 
"You expect me to talk? No, Mr Bond, I expect you to die!",1964,Goldfinger
"A martini. Shaken, not stirred.",1964,Goldfinger 
"Gentlemen, you can't fight in here! This is the War Room!",1964,Dr. Strangelove
What we've got here is a failure to communicate.,1967,Cool Hand Luke
They call me Mister Tibbs!,1967,In the Heat of the Night
"Mrs. Robinson, you're trying to seduce me. Aren't you?",1967,The Graduate
You only live twice:Once when you are born And once when you look death in the face,1967,You only live twice
We rob banks.,1967,Bonnie and Clyde
"Take your stinking paws off me, you damned dirty ape!",1968,Planet of the Apes
"Hello, gorgeous.",1968,Funny Girl
Love means never having to say you're sorry,1970,Love Story
Public opinion has a way of changing.,1971,A Clockwork Orange
"Drop the gun, take the cannoli.",1972,The Godfather
A man who doesn't spend time with his family can never be a real man.,1972,The Godfather
I'm going to make him an offer he can't refuse.,1972,The Godfather
"Great men are not born great, they grow great.",1972,The Godfather
I'm gonna make him an offer he can't refuse,1972,The Godfather
"Father Dyer: My idea of Heaven is a solid white nightclub with me as a headliner for all eternity, and they LOVE me!!",1973,The Exorcist
"Men, you are about to embark on a great crusade to stamp out runaway decency in the west. Now you men will only be risking your lives, whilst I will be risking an almost certain Academy Award nomination for Best Supporting Actor.",1974,Blazing Saddles
"What did you expect? 'Welcome, sonny'? 'Make yourself at home'? 'Marry my daughter'? You've got to remember that these are just simple farmers. These are people of the land. The common clay of the new West. You know... morons.",1974,Blazing Saddles
"Wait Master, it might be dangerous... you go first.",1974,Young Frankenstein
What's a dazzling urbanite like you doing in a rustic setting like this?,1974,Blazing Saddles
"Please! Remain in your seats, I beg you! We are not children here, we are scientists! I assure you there is nothing to fear!",1974,Young Frankenstein
"Keep your friends close, but your enemies closer.",1974,The Godfather II
"Now I don't have to tell you good folks what's been happening in our beloved little town. Sheriff murdered, crops burned, stores looted, people stampeded, and cattle raped. The time has come to act, and act fast. I'm leaving.",1974,Blazing Saddles
You're gonna need a bigger boat.,1975,Jaws
We are the Knights who say... Ni!,1975,Monty Python and the Holy Grail
It’s just a flesh wound.,1975,Monty Python and the Holy Grail
Run Away!,1975,Monty Python and the Holy Grail
"Yeah, to you, it's Thanksgiving; to me, it's Thursday.",1976,Rocky
You talking to me?,1976,Taxi Driver
"Yo, Adrian!!.",1976,Rocky
Is it safe?,1976,Marathon man
"If you strike me down, I shall become more powerful than you could possibly imagine.",1977,Star Wars
"It'll be just like Beggar's Canyon, back home",1977,Star Wars
May the Force be with you.,1977,Star Wars
May the force be with you,1977,Star Wars
When I left you I was but the learner. Now I am the master.,1977,Star Wars Episode IV - A New Hope
That’s no moon…it’s a space station,1977,Star Wars Episode IV - A New Hope
"All right, but apart from the sanitation, medicine, education, wine, public order, irrigation, roads, the fresh water system and public health, what have the Romans ever done for us?",1979,Monty Python's Life of Brian
"Oh! It's blessed are the meek! I'm glad they're getting something, they had a hell of a time...",1979,Monty Python's Life of Brian
Always look on the Bright Side of Life ... Always look on the Light Side of Life.,1979,Monty Python's Life of Brian
I love the smell of napalm in the morning,1979,Apocalypse Now
"Choose the sword, and you will join me. Choose the ball and you join your mother, in death. You don’t understand my words, but you must choose. So… come boy, choose life or death.",1980,Shogun Assassin
"Joey, have you ever been in a turkish prison?",1980,Airplane
Looks like I picked the wrong week to quit sniffing glue.,1980,Airplane
You must unlearn what you have learned.,1980,Star Wars: Episode V - The Empire Strikes Back
"Little pigs, little pigs, let me come in! Not by the hair on your chinny chin chin? Then I'll huff... And I'll puff... And I'll blow your house in!",1980,The Shining
"Do, or do not. There is no 'try'.",1980,Star Wars: Episode V - The Empire Strikes Back
"Luke, I am your father.",1980,"Star Wars, Empire Strikes Back"
Here's Johnny!,1980,The Shining
"It's not the years, honey. It's the mileage.",1981,Raiders of the Lost Ark
The sun will come out tomorrow.,1982,Annie
"If you don't eat your meat, you can't have any pudding! How can you have any pudding if you don't eat your meat?!",1982,Pink Floyd: The Wall
"I've seen things you people wouldn't believe. Attack ships on fire off the shoulder of Orion. I watched C-beams glitter in the dark near the Tannhäuser Gate. All those moments will be lost in time, like tears in rain.",1982,Blade Runner
I changed the conditions of the test. I don’t like to lose.,1982,Star Trek II: The Wrath of Khan
Leaping lizards!,1982,Annie
"Go ahead, make my day.",1983,Sudden Impact
Say hello to my little friend!,1983,Scarface
It’s a trap!,1983,Star Wars: Return of Jedi
"I always tell tell the truth, even when i lie.",1983,Scarface
"I am a Jedi, like my father before me.",1983,Star Wars Episode 6 : Return Of The Jedi
"From now on we are enemies, you and I.",1984,Amadeus
I'll be back.,1984,The Terminator
"Hasta la Vista, baby.",1984,The Terminator
I can’t believe I just gave my panties to a geek.,1984,Sixteen Candles
Are you telling me that you built a time machine out of a DeLorean.,1985,Back to the Future
I feel the need for speed,1986,Top Gun
I feel the need - the need for speed!.,1986,Top Gun
 I feel the need!!!! The need for speed!!!!,1986,Top Gun
"It's only forever, not long at all...",1986,Labyrinth
"Life moves pretty fast. If you don’t stop and look around once in a while, you could miss it.",1986,Ferris Bueller's Day Off
"I'm a mog: half man, half dog. I'm my own best friend!",1987,Spaceballs
Snap out of it!,1987,Moonstruck
Come on... Come on! Do it! Do it! Come on. Come on! Kill me! I'm here! Kill me! I'm here! Kill me! Come on! Kill me! I'm here! Come on! Do it now! Kill me!,1987,Predator
You idiots! These are not them! You've captured their stunt doubles!,1987,Spaceballs
"So, Lone Starr, now you see that evil will always triumph because good is dumb.",1987,Spaceballs
And to think I've been telling my friends it's so cool living with an artist. You never once asked to paint me nude!,1987,*batteries not included
Nobody puts Baby in a corner.,1987,Dirty Dancing
Here endeth the lesson.,1987,The Untouchables
Death cannot stop true love,1987,The Princess Bride
As you wish...,1987,The Princess Bride
Hello. My name is Inigo Montoya. You killed my father. Prepare to die.,1987,The Princess Bride
Inconcievable!,1987,The Princess Bride
"Greed, for lack of a better word, is good",1987,Wall Street
"Yippie-ki-yay, motherf—er!",1988,Die Hard
"Welcome to the party, pal!",1988,Die Hard
"Like a midget at a urinal, I was going to have to stay on my toes.",1988,The Naked Gun
"Say it aint’ so, Joe. Say it ain’t so.",1988,Eight Men Out
I'm not bad. I'm just drawn that way.,1988,Who Framed Roger Rabbit
Strange things are afoot at The Circle K.,1989,Bill and Ted's Most Excellent Adventure
"You must strive to find your own voice because the longer you wait to begin, the less likely you are going to find it at all.",1989,Dead Poets Society
"When you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible.",1989,When Harry Met Sally
Have you ever danced with the devil in the pale moonlight?,1989,Batman
I'll have what she's having.,1989,When Harry Met Sally
"If you build it, he will come.",1989,Field of Dreams
Why don't you make like a tree and get out of here.,1989,Back to the Future Part II
"Carpe diem. Seize the day, boys. Make your lives extraordinary.",1989,Dead Poets Society
"Just when I thought I was out, they pull me back in.",1990,The Godfather III
Never rat on your friends and always keep your mouth shut,1990,Goodfellas
I love you. I really love you. Ditto.,1990,Ghost
"I’m funny how?  Funny, like, I’m a clown?  I amuse you?",1990,Goodfellas
This valley is just one long smorgasbord.,1990,Tremors
"As far back as I can remember, I always wanted to be a gangster.",1990,Goodfellas
Better dead and cool then alive and uncool.,1991,Harley Davidson and The Marlboro Man
"You're a... you're a complex Freudian hallucination having something to do with my mother and I don't know why you have wings, but you have very lovely legs and you're a very nice tiny person and what am I saying? I don't know who my mother was. I'm an orphan and I've never taken drugs because I missed the sixties; I was an accountant.",1991,Hook
"Oh, and Senator, just one more thing. Love your suit.",1991,The Silence of the Lambs
"Hook, you let those kids out of that net in less than one minute or you better get an attorney and hope to God he's better than me.",1991,Hook
"Hasta la vista, baby.",1991,Terminator 2: Judgment Day
"And you'd better deliver, Miss Bell, or no amount of clapping will bring you back from where I will send you.",1991,Hook
"Of course it's hard. It's supposed to be hard. If it wasn't hard, everyone would do it. The hard is what makes it great",1992,A League of their Own
There's no crying in baseball!,1992,A League of Their Own
You can't handle the truth!,1992,A Few Good Men
"Party on, Wayne! Party on, Garth!",1992,Wayne's World
"You shoot me in a dream, you better wake up and apologise.",1992,Reservoir Dogs
"You're killing me, smalls!",1993,The Sandlot
"Life, uh, finds a way.",1993,Jurassic Park
Clever girl.,1993,Jurassic Park
"What do you call them, Max? Yabbos? Max likes your yabbos. In fact, he loves them!",1993,Hocus Pocus
You bred raptors?,1993,Jurassic Park
I'm your Huckleberry.,1993,Tombstone
"You’re killin’ me, Smalls.",1993,The Sandlot
"When I got tired, I slept. When I got hungry, I ate. When I had to go, you know, I went.",1994,Forrest Gump
Some birds aren't meant to be caged. Their feathers are just too bright.,1994,Shawshank Redemption
"Yeah I called her up. She gave me a bunch of crap about me not listening to her, or something. I don't know, I wasn't really paying attention.",1994,Dumb and Dumber
"Run, Forrest, run!",1994,Forrest Gump
"Lord, it's a miracle! Man up and vanished like a fart in the wind!",1994,Shawshank Redemption
"The past can hurt. But the way I see it, you can either run from it or learn from it.",1994,The Lion King
"Oh yes, the past can hurt. But you can either run from it, or learn from it.",1994,The Lion King
"Hope is a good thing, maybe the best of things, and no good thing ever dies.",1994,The Shawshank Redemption
Everything the light touches is our kingdom.,1994,The Lion King
Life is like a box of chocolates; you never know what you're gonna get.,1994,Forrest Gump
"These walls are funny. First you hate ’em. Then you get used to ’em. Enough time passes, you get so you depend on them. That’s institutionalized.",1994,Shawshank Redemption
"I mean, seriously, how often do you really look at a mans shoes?",1994,Shawshank Redemption
"Hope is a good thing, maybe the best of things, and no good thing ever dies.",1994,Shawshank Redemption
"Everything you see exists together in a delicate balance. As king, you need to understand that balance and respect all the creatures, from the crawling ant to the leaping antelope.",1994,The Lion King
Mama says stupid is as stupid does.,1994,Forrest Gump
"For you, the day Bison graced your village, was the most important day in your life. But for me, it was Tuesday.",1994,Street Fighter
Salvation lies within.,1994,Shawshank Redemption
Hakuna matata,1994,The Lion King
Don't ever let anybody tell you they’re better than you.,1994,Forrest Gump
Mama always said life was like a box of chocolates. You never know what you're gonna get.,1994,Forrest Gump
"Is life always this hard, or is it just when you're a kid?",1994,Léon
"They may take our lives, but they'll never take our freedom!",1995,Breaveheart
"Houston, we have a problem.",1995,Apollo 13
Hack the planet.,1995,Hackers
What's in the box?!,1995,Seven
"They may take our lives, but they'll never take our freedom!",1995,Braveheart
" I used to think that if none of your family or friends knew you were dead, it was like not really being dead. People can invent the best and the worst for you.",1995,Before Sunrise
The greatest trick the devil ever pulled was convincing the world he didn't exist.,1995,The Usual Suspects
Bye Felicia!,1995,Friday
Every man dies; not every man really lives.,1995,Braveheart
This isn't flying. This is falling with style!,1995,Toy Story
To infinity and beyond!,1995,Toy Story
"That'll do, pig. That'll do.",1995,Babe
Get on the scale! Get off the scale!,1995,Heavyweights
"Every man dies, but not every man really lives.",1995,Braveheart
You can trouble me for a warm glass of SHUT THE HELL UP!! Now you will go to sleep or I will put you to sleep.,1996,Happy Gilmore
Show me the money!,1996,Jerry Maguire
You had me at hello.,1996,Jerry Maguire
"You little son of a bitch ball! Why you don't you just go HOME? That's your HOME! Are you too good for your HOME? ANSWER ME! SUCK MY WHITE ASS, BALL!",1996,Happy Gilmore
Some people can’t believe in themselves until someone else believes in them first.,1997,Good Will Hunting
Ain't no rules says a dog can't play basketball.,1997,Air Bud
Does anything more dangerous than that lurk just beneath the surface?,1997,Titanic
You make me want to be a better man.,1997,As Good as It Gets
I'm king of the world!,1997,Titanic
Draw me like one of your French girls,1997,Titanic
Tonight's forecast: a freeze is coming!,1997,Batman & Robin
"People live their lives bound by what they accept as correct and true. That's how they define ""reality"". But what does it mean to be ""correct"" or ""true""? Merely vague concepts... Their ""reality"" may all be a mirage. Can we consider them to simply be living in their own world, shaped by their beliefs?",1997,Naruto
My Mama says that alligators are ornery because they got all them teeth and no toothbrush.,1998,The Waterboy
"What I need is a real, live ghost. That's an oxymoron, Daph.",1998,Scooby-Doo on Zombie Island
"You can feel the chill in the air, cut, who opened a window?",1998,Scooby-Doo on Zombie Island
A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,1998,The Silence of the lambs
"No matter how the wind howls, the mountain cannot bow to it.",1998,Mulan
"I’m the Dude, so that’s what you call me. That or, uh His Dudeness, or uh Duder, or El Duderino, if you’re not into the whole brevity thing.",1998,The Big Lebowski
Zoinks! How humiliating! Chased into a hole by 1/3 of a B.L.T.!,1998,Scooby-Doo on Zombie Island
Make the money. Don’t let it make you.,1998,The Player's Club
"Wipe your upper lip, romeo.",1998,Scooby-Doo on Zombie Island
"Put the weed in the bag first, then get money.",1998,Belly
A single grain of rice can tip the scale. One man may be the difference between victory and defeat.,1998,Mulan
You're taking all the caviar? That caviar is a garnish!,1998,You've Got Mail
The flower that blooms in adversity is the most rare and beautiful of all.,1998,Mulan
"Like... we're not looking for any ghoul-friends, are we, Scooby?",1998,Scooby-Doo on Zombie Island
I'm having an old friend for dinner.,1998,The Silence of the lambs
"I live in Notting Hill. You live in Beverly Hills. Everyone in the world knows who you are, my mother has trouble remembering my name.",1999,Notting Hill
"I'm also just a girl, standing in front of a boy, asking him to love her.",1999,Notting Hill
Time is always against us.,1999,The Matrix
"The things you used to own, now they own you.",1999,Fight Club
Don't touch my nakama(friend) anymore! ,1999,One Piece
It’s only after we’ve lost everything that we’re free to do anything.,1999,Fight Club
Don’t let anyone ever make you feel like you don’t deserve what you want.,1999,10 Things I Hate About You
"Unfortunately, no one can be told what the Matrix is. You have to see it for yourself.",1999,The Matrix
Ignorance Is Bliss,1999,The Matrix
I see dead people.,1999,The Sixth Sense
The first rule of Fight Club is: You do not talk about Fight Club.,1999,Fight Club
There is a difference between knowing the path and walking the path.,1999,The Matrix
It's only after we've lost everything that we're free to do anything.,1999,Fight Club
 I was the warm little center that the life of this world crowded around.,1999,Fight Club
Fear. Fear attracts the fearful… the strong… the weak… the innocent… the corrupt. Fear. Fear is my ally.,1999,Star Wars: Episode I – The Phantom Menace
By Grabthar's hammer...what a savings.,1999,Galaxy Quest
Stop trying to control everything and just let go! LET GO!,1999,Fight Club
Miracles only happen to those who never give up,1999,One Piece
You met me at a very strange time in my life,1999,Fight Club
I know kung fu.,1999,The Matrix
People hurt the ones they love. That's how it is all around the world,1999,The Green Mile
We need guns. Lots of guns.,1999,Matrix
Damn! We're in a tight spot!,2000,"O Brother, Where Art Thou?"
Are you not entertained?,2000,Gladiator
They called me Mr. Glass.,2000,Unbreakable
"I have nipples, Greg. Could you milk me?",2000,Meet the Parents
"I hope he didn’t die. Unless he left a note naming me his successor, then I hope he did die.",2000,Futurama
There are No Accidents. No Coincidences. No Escapes. YOU CAN'T CHEAT DEATH.,2000,Final Destination
"Dude, where's my car?",2000,"Dude, Where's My Car?"
Do you know what happens to a toad when it's struck by lightning? The same thing that happens to everything else.,2000,X-men
Your eyes are like two big blue eyes.,2000,Flintstones in Viva Rock Vegas
The key to a woman's heart is an unexpected gift at an unexpected time.,2000,Finding Forrester
"I'll take poor assumptions for $800, Alex.",2000,Finding Forrester
Wilsoooooon.,2000,Cast Away
"Wilma, whatever you decide to do, I want you to know something. Your daddy will always love you.",2000,Flintstones in Viva Rock Vegas
Oh Fred. That's so sweet.,2000,Flintstones in Viva Rock Vegas
"If you utter so much as one syllable, I'LL HUNT YOU DOWN AND GUT YOU LIKE A FISH! If you'd like to fax me, press the star key.",2000,The Grinch
"My name is Maximus Decimus Meridius, commander of the Armies of the North, General of the Felix Legions and loyal servant to the true emperor, Marcus Aurelius. Father to a murdered son, husband to a murdered wife. And I will have my vengeance, in this life or the next.",2000,Gladiator
"No thinking -- that comes later. You must write your first draft with your heart. You rewrite with your head. The first key to writing is... to write, not to think!",2000,Finding Forrester
We could not talk or talk forever and still find things to not talk about.,2000,Best in Show
Snnnnnooooooooooow!!!!!!!!!,2000,Snow Day
I have nipples Greg. Could you milk me?,2000,Meet the Parents
I've gotta get out of this place. Someday I'm getting on that train.,2001,Spirited Away
Yeah. We graduated high school. How totally amazing.,2001,Ghost World
One can never have enough socks.,2001,Harry Potter and the Philosopher's Stone
"Just what do you think you're doing, Dave?",2001,A Space Odyssey
"You're a wizard, Harry.",2001,Harry Potter and the Sorcerer's Stone
"What you NEED to do is get me my chips!!! With dip!!! Cuz you're delinquent, motherfucker!",2001,The Wash
You shall not pass!,2001,The Lord of the Rings: The Fellowship of the Ring
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,2001,The Fast and The Furious
Even the smallest person can change the course of the future.,2001,The Lord of the Rings: The Fellowship of the Ring
"So be prepared, be enthusiastic, and leave your bullshit attitude and baggage at the door because we don't need it!",2001,Wet Hot American Summer
I live my life a quarter mile at a time.,2001,The Fast and the Furious
They say that dreams are only real as long as they last. Couldn't you say the same thing about life?,2001,Waking Life
All we have to decide what to do with the time that is given to us.,2001,Lord Of The Ring - The Fellowships Of The Ring
Exercise gives you endorphins. Endorphins make you happy. Happy people just don't shoot their husbands. They just don't.,2001,Legally Blonde
What is this? A center for ants?,2001,Zoolander
All we have to decide is what to do with the time that is given us.,2001,The Lord of the Rings: The Fellowship of the Ring
"Of the days that I have lived, only those I spent with you seemed real.",2001,Cowboy Bebop: The Movie
Ogres are like onions.,2001,Shrek
"Once you meet someone, you never really forget them. It just takes a while for your memory to come back to you",2001,Spirited Away
I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.,2001,The Lord of the Rings: The Fellowship of the Ring
The greatest thing you’ll ever learn is just to love and be loved in return.,2001,Moulin Rouge
It's only in the mysterious equation of love that any logical reasons can be found.,2001,A Beautiful Mind
"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.",2001,The Lord of The Rings: The Fellowship of the Ring
Even the smallest person can change the course of history.,2001,The Lord of the Rings: The Fellowship of the Ring
"It’s a dangerous business, going out your door…You step into the Road, and if you don’t keep your feet, there is no knowing where you might be swept off to.",2001,The Lord of the Rings: The Fellowship of the Ring
"No, I like you very much, just as you are.",2001,Bridget Jone's Diary
"Welcome the rich man, he's hard for you to miss. His butt keeps getting bigger, so there's plenty there to kiss!",2001,Spirited Away
Do you like dags?,2001,The Snatch
"There’s some good in this world, and it’s worth fighting for.",2002,The Lord of the Rings: The Two Towers
I'm tired of people who judge me without knowing my history.,2002,8 miles
"I don't like sand. It's all coarse, and rough, and irritating. And it gets everywhere.",2002,The Lord of the Rings: The Two Towers
"Your time will come. You will face the same Evil, and you will defeat it.",2002,The Lord of the Rings: The Fellowship of the Ring
The battle of Helm's Deep is over; the battle for Middle Earth is about to begin. ,2002,The Lord of the Rings: The Two Towers
It is not our abilities that show what we truly are… it is our choices.,2002,Harry Potter and the Chamber of Secrets
With great power comes great responsibility.,2002,Spider Man
"Dadinho é o caralho, meu nome é Zé Pequeno porra!",2002,Cidade de Deus
There is always hope.,2002,The Lord of the Rings: The Two Towers
"You know, I'm something of a scientist myself.",2002,Spiderman
My precious,2002,The Lord of the Rings: The Two Towers
"Li'l dice my ass, my name is now Li'l Zé now",2002,City of God
"But in the end it’s only a passing thing, this shadow, even darkness must pass.",2002,The Lord of the Rings: The Two Towers
My precious...,2002,The Lord of the Rings: The Two Towers
Dark have been my dreams of late.,2002,The Lord of the Rings: The Two Towers
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",2002,Harry Potter and the Chamber of Secrets
Even the smallest person can change the course of the future.,2002,The Lord of the Rings: The Fellowship of the Ring
"Ye best start believin' in ghost stories, Miss Turner. Yer in one.",2003,Pirates of the Carribean
This is the day you will always remember as the day you almost caught Captain Jack Sparrow,2003,Pirates of the Caribbean: The Curse of the Black Pearl
You sit on a throne of lies.,2003,Elf
"To me, you are perfect.",2003,Love Actually
I will not say: do not weep; for not all tears are an evil.,2003,The Lord of the Rings: Return of the King
"I want to change things. I want to believe that anything can be changed. The moment I met you, a new world opened up for me. You see, after wandering in the darkness for so long, a light brought me happiness. It’s all thanks to you.",2003,Chrono Crusade
The thing about romance is people only get together right at the very end.,2003,Love Actually
Why are you trying so hard to fit in when you were born to stand out?,2003,What A Girl Wants
We're goin' streaking!,2003,Old School
" You're my boy, Blue!",2003,Old School
"That there’s some good in this world, Mr. Frodo… and it’s worth fighting for.",2003,The Lord of the Rings: The Two Towers
Just keep swimming.,2003,Finding Nemo
The problem is not the problem. The problem is your attitude about the problem. Do you understand?,2003,Pirates of the Carribean
Not all treasure is silver and gold mate,2003,Pirates of the Carribean
The ones that love us never really leave us.,2004,Harry Potter and the Prisoner of Azkaban
"Boo, you whore!",2004,Mean Girls
I want to play a game.,2004,Saw
Stop trying to make 'fetch' happen. It's not going to happen.,2004,Mean Girls
It's like I have ESPN or something.,2004,Mean Girls
We should totally just stab Caesar!,2004,Mean Girls
Whatever. I'm getting cheese fries.,2004,Mean Girls
That is so fetch!,2004,Mean Girls
You gonna eat your tots?,2004,Napoleon Dynamite
"You gotta hear this one song. It'll change your life, I swear.",2004,Garden State
A day may come when the courage of men fails… but it is not THIS day.,2004,The Lord of the Rings: Return of the King
That's why her hair is so big.  It's full of secrets.,2004,Mean Girls
You've got red on you,2004,Shaun of the Dead
Nobody makes me bleed my own blood. Nobody!,2004,Dodgeball: A True Underdog Story
I am gonna kill Bill.,2004,Kill Bill
Is butter a carb?,2004,Mean Girls
I solemnly swear that I am up to no good.,2004,Harry Potter and the Prisoner of Azkaban
I'm not drinking any f****** Merlot!,2004,Sideways
Your identity is your most valuable possession. Protect it.,2004,The Incredibles
Nunchuck skills… bowhunting skills… computer hacking skills… Girls only want boyfriends who have great skills!,2004,Napoleon Dynamite
"No, I shot him. Bullets and the fall killed him.",2004,Collateral
"They’ve done studies, you know. 60% of the time, it works every time.",2004,Anchorman
I wish I could bake a cake filled with rainbows and smiles and everyone would eat and be happy.,2004,Mean Girls
"Four for you, Glen Coco! You go, Glen Coco!",2004,Mean Girls
There's a 30% chance that it's already raining.,2004,Mean Girls
She doesn't even go here!,2004,Mean Girls
"You gotta hear this one song. It'll change your life, I swear.",2004,Golden State
I love lamp.,2004,Anchorman: The Legend of Ron Burgundy
"You have bewitched me, body and soul.",2005,Pride and Prejudice
"Life is a banquet, and most poor suckers are starving to death!",2005,Auntie Mame
And a hero is a person who resigns to be forgotten as we forget the dead for revolution.,2005,Gie
"If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.",2005,Harry Potter and the Goblet of Fire
Did you ever hear the tragedy of Darth Plagueis The Wise? I thought not. It's not a story the Jedi would tell you. It's a Sith legend.,2005,Star Wars: Episode III – Revenge of the Sith
I am the Jewish James Bond!,2005,Munich
Why do we fall? So we can learn to pick ourselves up.,2005,Batman begins
"If you want to know what a man's like,take a good look at how he treats his inferiors.",2005,Harry Potter and the Goblet of Fire
You know how I know that you're gay?,2005,The 40-Year-Old Virgin
Life is not the amount of breaths you take. It’s the moments that take your breath away.,2005,Hitch
I wish I knew how to quit you.,2005,Brokeback Mountain
I am the senate!,2005,Star Wars: Episode III – Revenge of the Sith
"It's not who I am underneath, but what I do that defines me",2005,Batman Begins
Didn't I tell you about the football field in the bathroom cupboard?,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Why do we fall sir? So that we can learn to pick ourselves up.,2005,Batman Begins
What's comin' will come and we'll meet it when it does.,2005,Harry Potter and the Goblet of Fire
"Happiness is the most insidious prison of all, Evey.",2005,V for Vendetta
All's fair in Love and Basketball baby,2005,Love and Basketball
"Be it a stone or a grain of sand, in water they both sink.",2005,OldBoy
They don't know that we know they know we know.,2005,Friends
That's what she said.,2005,The Office
"I'm sorry father, for you there is only death. But our destiny is life!",2006,The Fountain
"If you ain't first, you're last.",2006,Taladega Nights
"Walk that walk and go forward all the time. Don't just talk that talk, walk it and go forward. Also, the walk didn't have to be long strides; baby steps counted too. Go forward.",2006,The Pursuit of Happyness
"I can't really remember when I last had any hope, and I certainly can't remember when anyone else did either. Because really, since women stopped being able to have babies, what's left to hope for?",2006,Children Of Men
"Y'know that ringing in your ears? That 'eeeeeeeeee'? That's the sound of the ear cells dying, like their swan song. Once it's gone you'll never hear that frequency again. Enjoy it while it lasts.",2006,Children Of Men
Life’s simple. You make choices and you don’t look back.,2006,The Fast and The Furious: Tokyo Drift
I'm gonna say what any man with two penises would say when his tailor asks him if he dresses right or left... Yes.,2006,Lucky Number Slevin
"People can't do somethin' themselves, they wanna tell you you can't do it. If you want somethin', go get it. Period. ",2006,The pursuit of Happyness
Speed. I am speed.,2006,Cars
I'm just one stomach flu away from my goal weight.,2006,Devil wears Prada
Float like a cadillac sting like a beemer.,2006,Cars
The world is your oyester. It's up to you to find the pearls.,2006,The Pursuit of Happyness
Florals? For Spring. Groundbreaking.,2006,The Devil Wears Prada
"Nobody is gonna hit as hard as life, but it ain’t how hard you can hit. It’s how hard you can get hit and keep moving forward. It’s how much you can take, and keep moving forward. That’s how winning is done.",2006,Rocky Balboa
Very nice!,2006,Borat
I have had it with these motherfuckin' snakes on this motherfuckin' plane!,2006,Snakes on a Plane
"Don’t ever let somebody tell you, you can’t do something. Not even me. Alright?",2006,The Pursuit of Happyness
Death is the road to awe.,2006,The Fountain
"The past can't hurt you anymore, unless you let it.",2006,V for Vendetta
This is Sparta!,2006,300
"That's the beauty of argument. When you argue correctly, you're never wrong.",2006,Thank You for Smoking
"Dear 8-pound, 6-ounce newborn infant Jesus...",2006,Talledega Nights: The Ballad of Ricky Bobby
Are you watching closely?,2006,The Prestige
Dreams remind us what reality is.,2006,A Scanner Darkly
TIA This is Africa,2006,Blood Diamond
