quote,year,movie
"When you're looking for a cancer kid, he should be hopeless. He should have a wheelchair, he should have trouble talking, he should have a little pet goldfish in a Zip-lock bag, hopeless.",2006,Thank You for Smoking
"You got a dream... You gotta protect it. People can't do somethin' themselves, they wanna tell you you can't do it. If you want somethin', go get it. Period.",2006,The Pursuit of Happyness
Give Them Nothing... But take from Them Everything!,2007,300
"If we admit that human life can be ruled by reason, then all possibility of life is destroyed.",2007,Into the Wild
"The woods are lovely, dark and deep, and I have promises to keep and miles to go before I sleep. Did you hear me butterfly? Miles to go before you sleep.",2007,Death Proof
I read somewhere... how important it is in life not necessarily to be strong... but to feel strong.,2007,Into the Wild
" Spider-Pig, Spider-Pig. Does whatever a Spider-Pig does. Can he swing from a web? No he can't, he's a pig. Look out! He is a Spider-Pig!",2007,The Simpsons movie
"When you want something in life, you just gotta reach out and grab it.",2007,Into the Wild
"...And I also know how important it is in life not necessarily to be strong but to feel strong. To measure yourself at least once. To find yourself at least once in the most ancient of human conditions. Facing the blind death stone alone, with nothing to help you but your hands and your own head",2007,Into the Wild
"Anyway, my mum always said things we lose have a way of coming back to us in the end, if not always in the way we expect.",2007,Harry potter and the Order of the Phoenix
"They all deserve to die. Even you, Mrs. Lovett. Even I. Because the lives of the wicked should be made brief. For the rest of us death would be relief.",2007,Sweeney Todd: The Demon Barber of Fleet Street 
"As long as the concept of winners exists, there must also be losers.",2007,Naruto Shippuden
We’ve all got both light and darkness inside us. What matters is the part we choose to act on. That’s who we really are.,2007,Harry Potter and the Order of the Phoenix
"Not anyone can become a great artist, but a great artist can come from anywhere.",2007,Ratatouille
Happiness is only real when shared,2007,Into the Wild
Bazinga!,2007,The Big Bang theory
What's the most you ever lost on a coin toss?,2007,No Country for Old Men
"There's no room for softness... not in Sparta. No place for weakness. Only the hard and strong may call themselves Spartans. Only the hard, only the strong.",2007,300
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,2007,Juno
We've all got both light and darkness inside us. What matters is the part we choose to act on. That's who we really are.,2007,Harry Potter and the Order of the Phoenix
"These are desperate times, Mrs Lovett. And desperate measures are called for.",2007,Sweeney Todd: The Demon Barber of Fleet Street
"I'm already pregnant. So, what other shenanigans could I get myself into?",2007,Juno
"Music's the only thing that makes sense anymore, man. Play it loud enough, it keeps the demons at bay.",2007,Across the Universe
"Some people feel like they don't deserve love. They walk away quietly into empty spaces, trying to close the gaps of the past.",2007,Into the Wild
"But when you forgive, you love. And when you love, God's light shines through you.",2007,Into the Wild
"Sometimes, informations is more dangerous than weapons",2007,Naruto Shippuden
 It's not about what I want. It's about what's fair!,2008,The Dark Knight
" About three things I was absolutely certain. First, Edward was a vampire. Second, there was part of him-and I didn't know how potent that part might be- that thirsted for my blood. and third, I was unconditionally and irrevocably in love with him.",2008,Twilight
Some men just want to watch the world burn. ,2008,The Dark Knight
"It is within my power to drastically change his cirumstances, but I don't want to give that man a gift he doesn't deserve.",2008,Seven Pounds
I don't know what kind of gun this is. I only know the sound it makes when it kills a man.,2008,Tropic Thunder
"Sometimes the truth isn’t good enough, sometimes people deserve more. Sometimes people deserve to have their faith rewarded    ",2008,The Dark Knight
It's not about money...it’s about sending a message. Everything burns!,2008,The Dark Knight
"If you let my daughter go now, that'll be the end of it. I will not look for you, I will not pursue you. But if you don't, I will look for you, I will find you, and I will kill you.",2008,Taken
There is no secret ingredient. It’s just you.,2008,Kung Fu Panda
Why so serious?,2008,The Dark Knight
"You either die a hero, or you live long enough to see yourself become the villain.",2008,Batman: The Dark Knight
Give me a scotch!,2008,Iron Man
I don't read the script. The script reads me.,2008,Tropic Thunder
Me? I know who I am. I'm a dude playing a dude disguised as another dude.,2008,Tropic Thunder
May the odds ever be in your favor.,2008,The Hunger Games
Don't talk like you're one of them,2008,The Dark knight
"Our lives are defined by opportunities, even the ones we miss.",2008,Benjamin Button
"You see, in their last moments people show you who they really are.",2008,The Dark Knight
"If you’re good at something, never do it for free.",2008,The Dark Knight
I'm not a big fat panda. I'm THE big fat panda.,2008,Kung Fu Panda
You either die a hero or live long enough to see yourself become the villian.,2008,The Dark Knight
Let's put a smile on that face!,2008,The Dark Knight
"I believe whatever doesn’t kill you, simply makes you stranger.",2008,The Dark Knight
"Is it better to be feared or respected? I say, is it too much to ask for both?",2008,Ironman 1
"Madness, as you know, is like gravity, all it takes is a little push.",2008,The Dark Knight
"I am not in danger, I am the danger",2008,Breaking Bad
Some men just want to watch the world burn.,2008,The Dark Knight
Does it depress you? To know just how alone you really are?,2008,The Dark Knight
Fuck them kids,2008,Soul Men
Do i look like a guy with plan?,2008,the dark knight
It's not about what I want. It's about what's fair!,2008,The Dark Knight
Nobody panics when things go “according to plan”. Even if the plan is horrifying!,2008,The Dark Knight
Adventure is out there,2009,Up
Nobody knows this mall better than I do.,2009,Paul Blart: Mall Cop
"If what I think is happening is happening, it better not be.",2009,Fantastic Mr. Fox
"I love you too, but I shouldn't have married you.",2009,Fantastic Mr. Fox
"I love rumors! Facts can be so misleading, but rumors, true or false, are often revealing",2009,Inglorious Basterds
Just because she likes the same bizzaro crap you do doesn't mean she's your soul mate.,2009,500 Days of Summer
Didn't I tell you not to come to my house? Nobody touches my child!,2009,Obsessed
"You've ever been to Del Frisco's? They cater, so for lunch I would love a twenty ounce porterhouse steak, medium maybe a little charred, with all the trimmings pommes frites, asparagus, and butter squash.",2009,Law Abiding Citizen
"We're all different... Him, especially. But there's something kind of fantastic about that, isn't there?",2009,Fantastic Mr. Fox
It is impossible to manufacture or imitate love,2009,Harry Potter and the Half-Blood Prince
Every path is the right path. Everything could've been anything else. And it would have just as much meaning.,2009,Mr Nobody
Hell is a teenage girl.,2009,Jennifer's Body
It was my bad. I was never a very good practical joker.,2009,Zombieland
This weapon seems made to order for the Brothers Grimm downstairs.,2009,Pulp Fiction
Am I being flirted with by a psychotic rat?,2009,Fantastic Mr. Fox
"Well, how carefully should I tread? Because apparently I just killed two people, and you were about to let me walk right out that door! How MISGUIDED are you? I feed you a couple of bullshit legal precedents, and there you go - you jump on it like a bitch in heat.",2009,Law Abiding Citizen
"Redemption? Sure. But in the end, he's just another dead rat in a garbage pail behind a Chinese restaurant.",2009,Fantastic Mr. Fox
What happens in vegas stays in vegas,2009,The Hangover
Whoops. Broke your 350 year old doorknob,2010,The Social Network
"Which would be worse, to live a monster or die as a good man?",2010,Shutter Island
You cocky cock! You'll pay for your crimes against humanity!,2010,Scott Pilgrim VS. The World
You want to know the difference between a master and a beginner? The master has failed more times that the beginner has ever tried.,2010,Karate Kid
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,2010,Inception
There's a benefit to losing: You get to learn from your mistakes.,2010,Megamind
A million dollars isn't cool. You know what's cool?,2010,The Social Network
"It is a curious thing, Harry, but perhaps those who are best suited to power are those who have never sought it.",2010,Harry Potter and the Deathly Hallows
Dreams feel real while we're in them. It's only when we wake up that we realize something was actually strange.,2010,Inception
"You have nothing to fear, if you have nothing to hide.",2010,Harry Potter and the Deathly Hallows
"Only he knew the price he paid, to become the greatest birder of all time.",2011,The Big Year
Zaldrīzes buzdari iksos daor! (A dragon is not a slave!),2011,Game of Thrones
I'm so much better when you're around,2011,One Day
"The problem is, I pretty much fancy everyone. It's like I've just got out of prison all of the time.",2011,One Day
"When you play game of thrones, you win or you die, there is no middle ground!",2011,Game of Thrones
"A tortilla is either corn or wheat. But a corn tortilla folded and filled is a taco, whereas a filled wheat tortilla is a burrito. Deep fry a burrito, it's a chimichanga.Toast a tortilla, it's a tostada. Roll it, it's an enchilada.",2011,One Day
"No one should be immortal, if even one person has to die.",2011,In Time
"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",2011,Harry Potter and the Deathly Hallows
The winter is coming.,2011,Game of Thrones
Winter is coming!,2011,Game of Thrones
Chaos is a ladder!,2011,Game of Thrones
A Lannister always pays his debts,2011,Game of Thrones
You is kind. You is smart. You is important.,2011,The Help
"For a guy with a four digit IQ, I must have missed something.",2011,Limitless
Go to work and have a fun.,2011,The Raid Redemption
Hodor,2011,Game of Thrones
Never Stop Looking for What's Not There.,2012,The Magic of Belle Isle
"Cause if we can't protect the Earth, you can be damn sure we'll avenge it.",2012,The Avengers
You had my curiosity. But now you have my attention.,2012,Django Unchained
"Gentlemen, you had my curiosity, but now you have my attention.",2012,Django Unchained
"There are those who say fate is something beyond our command, that destiny is not our own. But I know better. Our fate lives within us. You only have to be brave enough to see it.",2012,Brave
"Above all, don't lose hope",2012,Life of Pi
"That’s my secret, Captain. I’m always angry.",2012,The Avengers 
I'm a huge fan of the way you lose control and turn into an enormous green rage monster.,2012,The Avengers
"Better clench up, Legolas.",2012,The Avengers
"Bright day uh, Bright Boy?",2012,Django Unchained
Where there's life there's hope.,2012,The Hobbit
"Ah you think darkness is your ally? You merely adopted the dark. I was born in it, molded by it. I didn't see the light until I was already a man, by then it was nothing to me but blinding",2012,Dark Knight Rises
Following's not really my style.,2012,Marvel's The Avengers
"There was an idea to bring together a group of remarkable people, to see if we could become something more",2012,The Avengers
 That's what I do: I drink and I know things.,2012,Game of Thrones
"Genius, billionaire, playboy, philanthropist.",2012,The Avengers
"I love you, but you don't know what you're talking about.",2012,Moonrise Kingdom
"When you stop trying to force the solution, it'll happen on its own.",2012,The Flash
The law says that you cannot touch. But I think I see a lot of lawbreakers up in this house tonight,2012,Magic Mike
We accept the love we think we deserve,2012,The Perks of Being a Wallflower.
All The people I've murdered by letting you live...,2013,Batman: The Dark Knight Returns
Sometimes you gotta run before you can walk,2013,Ironman 3
Look closer because the closer you think you are the less you actually see,2013,Now You See Me
I have nothing to prove to you,2013,Captain Marvel
Let us learn to show our friendship for a man when he is alive and not after he is dead.,2013,The Great Gatsby
"If wishes could be granted, if desires could be fulfilled, then I wouldn’t wish or desire for anything after all. The things you’re handed on a silver platter are never genuine, and never everlasting. And that is why I’ll always keep searching.",2013,Oregairu
"The people who are crazy enough to think that they can change the world, are the one's who do",2013,Jobs
A wise man can learn more from his enemies than a fool from his friends.,2013,Rush
There's no nobility in poverty.,2013,The Wolf of Wall Street
"You’ve changed, Bilbo Baggins. You’re not the same hobbit as the one who left the Shire.",2013,The Hobbit: The Desolation of Smaug
"I warned your grandfather of what his greed would summon, but he would not listen.",2013,The Hobbit: The Desolation of Smaug
Let it go!,2013,Frozen
Proximity to power deludes some into thinking they wield it.,2013,House of Cards
"Just remember: if you look in the face of evil, evil's gonna look right back at you.",2013,American Horror Story
The only thing we're allowed to believe is that we won't regret the choice we made.,2013,Attack on Titan
"You have got to be willing to crash and burn. If you are afraid of failing, you wont get very far",2013,Steve Jobs
It's the loneliest feeling not to know who you are,2013,Alita: Battle Angel
"I just try to live every day as if it was the final day of my extraordinary, ordinary life.",2013,About Time
I don't want to survive. I want to live.,2013,12 years a slave
"Look At Me, I'm The Captain Now",2013,Captian Phillips
"You don't turn your back on family, Even when they do",2013,The Fast and The Furious 8
Some people say it's more hygienic than a handshake. But who's to say you can't get shit on your fist?,2013,Alan Partridge: Alpha Papa
"I'm not sure, about anything.",2013,What If
People don’t buy stock; it gets sold to them. Don’t ever forget that.,2013,The Wolf of Wall Street
The heart is not like a box that gets filled up; it expands in size the more you love. I'm different from you. This doesn't make me love you any less. It actually makes me love you more.,2013,Her
"People who can’t throw something important away, can never hope to change anything.",2013,Attack on Titan
"Well, I don't want to survive. I want to live.",2013,12 Years a Slave
"We're all traveling through time, together, everyday of our lives... All we can do is do our best to relish this remarkable life.",2013,About Time
"Rather than a person who hurts others, become the person getting hurt",2014,Tokyo Ghoul
"It's not magic, it's talent and sweat.",2014,Silicon Valley HBO
"The truth is a matter of circumstances, it’s not all things to all people all the time.",2014,Captain America: The Winter Soldier
"Don't wait for things to get easier, simpler, better. Life will always be complicated. Learn to be happy right now. Otherwise, you'll run out of time.",2014,The Intouchables
Even a broken clock is right twice a day.,2014,The Imitation Game
Not quite my tempo.,2014,Whiplash
Popularity is the slutty little cousin of prestige.,2014,Birdman
"Look, you're beautiful and you're talented. And I'm lucky to have you.",2014,Birdman
"One day it’ll grow, and every time I look at it, I’ll remember. Remember everything that happened: the good, the bad and how lucky I am that I made it home.",2014,The Hobbit: The Battle of Five Armies
"That’s what you always do, you confuse love for admiration.",2014,Birdman
"If more people valued home above gold, this world would be a merrier place.",2014,The Hobbit: The Battle of Five Armies
Only a fool argues for the pride of a dead man.,2014,The Raid 2: Berandal
"They never see you coming, do they Bob?",2014,The Drop
Sometimes it is the people who no one imagines anything of who do the things that no one can imagine.,2014,The Imitation Game
I am Groot.,2014,Guardians of the Galaxy
The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can/'t achieve it.,2014,Wolf of the Wall Street
"So many times in my life I screwed up: I've talked when I should've listened, I've been harsh when I should've been tender.",2014,Ad Astra
"Dragon sickness. I’ve seen it before. That look, the terrible need. It is a fierce and jealous love, Bilbo. It sent his grandfather mad.",2014,The Hobbit: The Battle of Five Armies
"People keep asking if I'm back and I haven't really had an answer, but yeah, I'm thinking I'm back.",2014,John Wick
"Do not go gentle into that good night. Rage, rage against the dying of the light.",2014,Interstellar
There are no two words in the English language more harmful than good job.,2014,Whiplash
"You don't get to choose if you get hurt in this world,but you do have a say in who hearts you",2014,Fault in our stars
"We used to look up at the sky and wonder at our place in the stars, now we just look down and worry about our place in the dirt.",2014,Interstellar
"The price of freedom is high, and it's the price I am willing to pay",2014,Captain America: The Winter Soldier
I'm not going to launch those ships. Captain's orders.,2014,Captain America: The Winter Soldier
Ideals are peaceful; history is violent.,2014,Fury
Dress like a kingsman.,2014,KINGSMAN: The Secret Service
"Nobody exists on purpose, nobody belongs anywhere, everybody's gonna die. Come watch TV?",2014,Rick and Morty
Wubba lubba dub dub!,2014,Rick and Morty
"Having a family doesn’t mean that you stop being an individual. You know the best thing you can do for the people that depend on you? Be honest with them, even if it means setting them free.",2014,Rick and Morty
There are no two words in the English language more harmful than good job,2014,Whiplash
"Machines can never think as humans do but just because something thinks differently from you, does it mean it's not thinking?",2014,The Imitation Game
Pain demands to be felt,2014,Fault in our stars
I know it's not ordinary. But who ever loved ordinary?,2014,The Imitation Game
Were you rushing or were you dragging?,2014,Whiplash
No system is safe.,2014,Who Am I
"Everyone’s a whore, Grace. We just sell different parts of ourselves.",2014,Peaky Blinders
"We are all different. However bad life may seem, there is always something you can do, and succeed at. While there's life, there is hope.",2014,The Theory of Everything
Come find me when you wake up!,2014,Edge Of Tomorrow
"You never would have come here unless you believed you were going to save them. Evolution has yet to transcend that simple barrier. We can care deeply - selflessly - about those we know, but that empathy rarely extends beyond our line of sight.",2014,Interstellar
"This world’s a treasure, but it’s been telling us to leave for a while now.",2014,Interstellar
A machine doesn't improvise well because you cannot program a fear of death. Our survival instinct is our greatest source of inspiration.,2014,Interstellar
Not my tempo.,2014,Whiplash
Mankind was born on Earth. It was never meant to die here.,2014,Interstellar
Hardest time to lie to somebody is when they're expecting to be lied to.,2014,The Imitation Game
Some infinities are bigger than other infinities.,2014,The Fault in our stars
If an angelic being fell from the sky and tried to live in this world of ours I think even they would commit many wrongs.,2014,Tokyo Ghoul
"I'm on a roller-coaster that only goes up, my friend.",2014,The Fault in Our Stars
It's not because we can't take vengeance that we should feel sorry. The real reason to feel sorry... is when one is hung up on revenge and can't live their own life.,2014,Tokyo Ghoul
Sometimes it's people closest to us who lie to us best,2015,Arrow
"You become responsible, forever, for everything you tamed.",2015,The Little Prince
"Mark Watney, Space Pirate.",2015,The Martian
How do you know the angel and the devil inside me aren’t the same thing?,2015,Daredevil
"I am the scales of justice, conductor of the choir of death!",2015,Mad Max
Oh what a day. What a lovely day!,2015,Mad Max
Witness me!,2015,Mad Max
I'm going to have to science the s*** out of this.,2015,The Martian
"Just because someone stumbles and loses their path, doesn’t mean they’re lost forever.",2015,X-Men: Days of Future Past
Manners maketh man,2015,KINGSMAN: The Secret Service
Haven't you ever wanted something so ba that it becomes more than a want?,2015,Rebel of the Sands
"When I get back home, I want all the praise to go towards me.",2015,The Martian
What a treacherous thing to believe that a person is more than a person?,2015,Paper Towns
"Examined from another angle, your faults and weaknesses can be weapons",2015,Assassination classroom
People keeps secret computers don't,2015,Arrow
That's not how the force works!,2015,Star Wars: Episode VII - The Force Awakens
"But if you tame me, then we shall need each other, to me you shall be unique in all the world, to you i shall be unique.",2015,The Little Prince
"Chewie, we're home.",2015,The Force Awakens
My tastes are very singular.,2015,Fifty Shades of Grey 
It is only with the heart that one can see rightly; what is essential is invisible to the eye,2015,The Little Prince
"Like the oldman said, together",2015,Avengers - Age of Ultron
Power belongs to those who take it.,2015,Mr. Robot
"That light saber was luke's, and his father's before him, and now it calls to you!",2015,Star Wars: The Force Awakens
I don't have friends. I got family.,2015,Furious 7
A bit of madness is key,2016,La La Land
Secrecy is security and security is victory.,2016,Snowden
Once in a while when I wake up. I find myself crying.,2016,Kimi No Nawa
"When life gets you down, you know what you gotta do? Just keep swimming.",2016,Finding Dory
"Bombs won't stop terrorism, brains will, and we don't have nearly enough of those.",2016,Snowden
Marriage is buying a house for someone you hate,2016,The Nice Guys
"At some point, you gotta decide for yourself who you gonna be. Can't let nobody make that decision for you.",2016,Moonlight
"Life’s a little bit messy. We all make mistakes. No matter what type of animal you are, change starts with you.",2016,Zootopia
"For Azeroth, for the Alliance!",2016,Warcraft
"When you love someone, you work it out. You don't just throw it away. You have to be careful with it, you might never get it again.",2016,Nocturnal Animals
"You're right, Aurora. But the drowning man will always try and drag somebody down with him. It ain't right, but the man's drowning.",2016,Passengers
Tell me... do you bleed? You will!,2016,BATMAN V SUPERMAN: DAWN OF JUSTICE
"You can’t buy love, but you can rent it for three minutes!",2016,Deadpool
"Life’s a little bit messy. We all make mistakes. No matter what type of animal you are, change starts with you.",2016,Zootopia
I can do this all day!,2016,Captain America: Civil War
"My dad used to say, 'If you live an ordinary life, all you'll have are ordinary stories. You have to live a life of adventure.'",2016,Passengers
Start With Where You're From,2016,Lion
"PWinston... tell them... Tell them all... Whoever comes, whoever it is... I'll kill them. I'll kill them all.",2017,John Wick 2
Do you know what a Cinnabon is? It's bread! And frosting! And cinnamon! They heat it up! Really hot!,2017,Bee Movie
"Life is a big trap, made up of little traps... If you listen hard... sometimes you could hear them snap shut.",2017,Sense8
"Don't do anything I would do, and definitely don't do anything I wouldn't do...",2017,Spider-Man: Homecoming
"There’s no hiding from this, son.",2017,Dunkirk
"When all seems lost, a few brave souls can save everything we've ever known.",2017,Transformers : The Light Night
I promise you ... No matter where we will be in this world ... I promise we will meet again.,2017,Your Name
"Unfortunately, we’re all human. Except me, of course.",2017,Mr.Robot
"Break hearts, not promises.",2017,Turtles All the Way Down
"Every time we get a chance to get ahead they move the finish line, every time.",2017,Hidden Figures
"When we lose our principles, we invite chaos.",2017,Mr. Robot
"People walk around, act like they know what hate means. Nah, no one does, until you hate yourself. I mean truly hate yourself. That’s power.",2017,Mr. Robot
We Shall Never Surrender.,2017,Dunkirk
I have burrowed underneath your brain. I am nested there. I am the scream in your mind. You will cooperate.,2017,Mr. Robot
Treasure the experience. Dreams fade away after you wake up,2017,Your Name
Leave One Wolf Alive and the Sheep are Never Safe,2017,Game of Thrones Season 7
Love's the most powerful emotion and that makes it the most dangerous,2017,Arrow
You’re so dark! Are you sure you’re not from the DC universe? I love dubstep!,2018,Deadpool 2
"If you want to change things in a big way, then you gotta make some big changes.",2018,Creed 2
Just because something works doesn’t mean it can’t be improved.,2018,Black Panther
"There is no such thing as magic, just illusion. Things only change when we change them. But you have to do it skillfully, in secret. Then it seems like magic.",2018,Dark
The darkest nights produce the brightest stars.,2018,Bumblebee
"That’s one small step for man, one giant leap for mankind.",2018,First Man
Is this your king?,2018,Black Panther
"That person who helps others simply because it should or must be done, and because it is the right thing to do, is indeed without a doubt, a real superhero.",2018,Spider-Man: Into the Spider-Verse
"If we didn’t do what we loved, we wouldn’t exist.",2018,"Adonis, Creed II"
Sometimes we think we have to do it all on our own. But we don’t.,2018,Creed 2
I just wanted to take another look at you.,2018,A Star Is Born
The hardest choices require the strongest wills,2018,Avengers: Infinity War
"What’s done is done, when we say it’s done.",2018,Mission Impossible: fallout
Change is like death. You don’t know what it looks like until you’re standing at the gates.,2018,Jurassic World: Fallen Kingdom
"Being a hero doesn't mean you are invincible. It just means you're brave enough to stand up, and do what's needed.",2018,Two Heroes
"Sometimes, when you're feeling helpless, the secret is to help someone else. Get out of your own head. Trust me. The next time someone asks for help, say yes.",2018,The Good Place
"Yeah. Well, you’re right. I thought it was more important to be somebody out there than the damn failure I was here at my own home. Anyway, for what it’s worth, I’m here now.",2018,The Mule
Whatever it takes!,2018,Avengers : Infinity War
That does put a smile on my face.,2018,Avengers: Infinity War
"For I am a Sinner in the hands of an angry God, Bloody Mary, Full of Vodka, Blessed are you among cocktails, pray for me now, at the hour of my death, which I hope is soon. Amen",2018,Archer
"Being genius is not enough, it takes courage to change people's hearts.",2018,Green Book
"Elsa, the past is not what it seems. You must find the truth.",2019,Frozen II
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.",2019,Maleficent:The Mistress of Evil
I can do this all day,2019,Avengers: Endgame
I love you 3000.,2019,Avengers: Endgame
I laugh in the face of danger,2019,The Lion King
Being brave doesn’t mean you go looking for trouble.,2019,The Lion King
"Lord knows, I’ve held onto way too much hate in my life. But all we have is now. All we have is now.",2019,Waves
All I have are negative thoughts.,2019,Joker
Nothing is funnier than unhappiness.,2019,Avengers: Endgame
"Is it just me, or is it getting crazier out there?",2019,Joker
 If you want to get crazy. We can get crazy.,2019,Us
"A new chapter of my life has begun. Already, I can feel the weight of this crown I wear.",2019,The King
You all love twisting the knife into one another.,2019,Knives Out
"Things are very uncomfortable between us, but we’re stuck in a house together.",2019,The Lodge
Pearl Harbor is the greatest intelligence failure in American history.,2019,Midway
There’s nothing you can’t do if you try.,2019,Dr Stone
I just want to escape. Dad always wanted me to travel the world. Someday.,2019,Abominable
"They have all the money, all the firepower, and they’ll use it. I know, I was one of them.",2019,Dark Waters
I think the best thing we can do is to let people know that each one of them is precious.,2019,A Beautiful Day in the Neighbourhood
"Well, I’ve got no leashes, or fences. With me, every day could be an adventure.",2019,The Lady and the Tramp
"You're really lucky, you know that? You didn't have to wait your whole life to do something special.",2019,El Camino
"Even if we do ignore the previous data, Broly's latent abilities are quite remarkable.",2019,Dragon Ball Super: Broly
My mother always tells me to smile and put on a happy face. She told me I had a purpose to bring laughter and joy to the world.,2019,Joker
How truly magnificent! I think this battle is about to come to a rousing finale!,2019,Dragon Ball Super: Broly
Today the impossible becomes the possible. ,2019,The Current War
There is no punchline.,2019,Joker
"Is it just me, or is it getting crazier out there?’",2019,Joker
That's MotherF****** street poetic justice.,2019,Shaft
"Maybe it's because I'm constantly fighting, destro…d to be a lower-class warrior... like my Kakarot.",2019,Dragon Ball Super: Broly
"These barbarians pretend to be submissive, but the…a sleeping beast down, before it can be awakened.",2019,Dragon Ball Super: Broly
"Time means nothing. Jeremy Bearimy, baby. We’ll just get through this. And then you and I can chill out in the dot of the I forever.",2019,The Good Place
The worst part of having a mental illness is people expect you to behave as if you don't,2019,Joker
"You give me your loyalty, and I’ll guarantee that each and every one of you will have a chance to be a warrior, to actually be a part of history.",2019,The Kill Team
What do you want most in the world?,2019,Anna
I do what I do because of my dad. He was a hero. He gave his life for the pursuit of knowledge.,2019,Ad Astra
"You've got a lot to learn. Here on Earth, we like …have to listen to what the others tell you to do.",2019,Dragon Ball Super: Broly
Following's not really my style.,2019,Marvel's The Avengers
I have nothing to prove to you,2019,Captain Marvel
"Dude, you are on fire.",2019,El Camino
This is me. This is how I win.,2019,Uncut Gems
Why have average when you can have extraordinary?,2019,The Boys
You are my lighting rod.,2019,Avengers: Endgame
"Bruce Lee: My hands are registered as lethal weapons. We get into a fight, I accidentally kill you... I go to jail.",2019,Once Upon a Time in Hollywood
"I'm as real as a donut, motherfucker.",2019,Once Upon a Time in Hollywood
"I used to think that my life was a tragedy. But now I realize, it’s a comedy.",2019,Joker
"I use the words you taught me. If they don't mean anything any more, teach me others. Or let me be silent.",2019,Avengers: Endgame
I used to use this little gun when I was a prostitude.,2019,Pineapple Express
If you want to get crazy. We can get crazy.,2019,Us
"If you can only do one thing, hone it to perfection. Hone it to the utmost limit!",2019,Kimetsu no Yaiba
You get what you f***ing deserve !!,2019,Joker
"You don't listen, do you?",2019,Joker
Never let your wings be stolen for you,2019,Maleficent:The Mistress of Evil
"Guns, lots of guns.",2019,John Wick 3: Parabellum
I was so sure my strength was getting close to it'…on this planet... Then who would I train against.,2019,Dragon Ball Super: Broly
No amount of money ever bought a second of time.,2019,Avengers: Endgame
The end is in the beginning and yet you go on.,2019,Avengers: Endgame
This meeting of The Losers Club has officially begun.,2019,It Chapter Two
" Spider-Pig, Spider-Pig. Does whatever a Spider-Pig does. Can he swing from a web? No he can't, he's a pig. Look out! He is a Spider-Pig!",2019,The Simpsons Movie
Let’s do this.,2019,Men in Black
"It looks as though he's managed to transform someh… his human form, retaining his speed and agility.",2019,Dragon Ball Super: Broly
I just hope my death makes more cents than my life.,2019,Joker
I am Iron Man.,2019,Avengers: Endgame
I didn't know if you were lost. Stick with me. I'll keep you safe.,2019,Us
This guy's awesome! He's holding his own while still in his base form!,2019,Dragon Ball Super: Broly
"Murder is murder, it don’t matter who you are.",2019,Black and Blue
"You know what a lion is? A lion is a strong animal. They do what the fuck they wanna do. Take what they want, eat what they want, they run when they feel like it. Lion.",2019,Between Two Ferns: The Movie
That was the best acting i've ever seen in my whole life.,2019,Once Upon a Time in Hollywood
